m0	a1
m0	a8769
m0	a9433
m0	c18074
m0	d19666
m0	m7319
a1	m6123
a1	m1993
m6123	a14539
m6123	a1661
m6123	a6124
m6123	a7477
m6123	c17667
m6123	d20607
m1993	a1994
m1993	a2307
m1993	a7303
m1993	a8127
m1993	a8769
m1993	c18174
m1993	d20552
m1993	m5096
m1993	m13374
m1993	m4318
m4417	a10000
m4417	a11863
m4417	a16969
m4417	a4418
m4417	c18194
a10000	m6791
m6791	a1419
m6791	c17751
m6791	d20286
m4185	a10001
m4185	a15162
m4185	a15958
m4185	a4186
m4185	a7856
m9918	a10002
m9918	a1176
m9918	a15456
m9918	a15954
m9918	a797
m9918	c17599
m9918	d19978
a10002	m9291
a10002	a7560
a10002	a6017
a10002	a16344
a10002	a681
m9291	a12945
m9291	a15163
m9291	a9292
m9291	c17943
m9291	d20795
m2490	a10003
m2490	a14925
m2490	a15860
m2490	a597
m2490	a8716
m2490	c14068
m2490	d21399
m9507	a10004
m9507	a9508
m9507	c17729
m9507	d20110
m9507	m14070
m9507	m15014
m9507	m2567
m9507	m96
m9507	m2900
m9507	m10699
m9507	m16103
m9507	m6379
m9507	m9058
m3276	a10006
m3276	a15
m3276	a3277
m3276	a4500
m3276	a5065
m3276	c17892
m3276	d19486
m154	a10007
m154	a10432
m154	a13933
m154	a155
m154	a16024
m154	a9755
m154	c17635
m154	d19959
a10007	m4919
a10007	m9946
a10007	m9907
a10007	m2383
m4919	a12953
m4919	a2487
m4919	a4920
m4919	c17633
m4919	d20453
m9946	a1515
m9946	a17388
m9946	c17697
m9946	d15615
m9907	a1158
m9907	a13593
m9907	a15
m9907	a15661
m9907	a813
m9907	a9227
m9907	c17784
m9907	d20219
m9907	m10093
m2383	a2384
m2383	c18312
m2383	d19976
m2383	m5241
m2383	m4071
m10008	a10009
m10008	a14681
m10008	a15128
m1000	a1001
m1000	a10975
m1000	a1865
m1000	a1897
m1000	a2601
m1000	a4156
m1000	a6851
m1000	c17891
m1000	d21113
a1001	m7435
a1001	m1033
m7435	a14118
m7435	a1897
m7435	a3631
m7435	a4156
m7435	a8943
m1033	a101
m1033	a1034
m1033	a10890
m1033	a14118
m1033	a3485
m1033	a4336
m1033	a4387
m1033	a5923
m1033	a6152
m1033	a6202
m1033	a6646
m1033	a7878
m1033	a932
m1033	c18095
m1033	d19964
m9711	a10010
m9711	a8790
m9711	a9712
m9711	d19747
m9711	d20467
a10010	m10733
a10010	m8789
m10733	a2475
m10733	a8790
m10733	c18421
m10733	d19492
m10733	m8789
m10733	m19136
m8789	a8790
m8789	a9712
m8789	d19747
m8789	d20467
m8789	m19136
m1621	a10011
m1621	a141
m1621	a1622
m1621	a17535
m1621	a3877
m1621	a6169
m1621	a930
m1621	d19444
m4648	a10012
m4648	a11495
m4648	a2355
m4648	a2969
m4648	c19085
m4648	d19576
m4648	m12261
m4648	m9253
m8421	a10013
m8421	a13803
m8421	a16683
m8421	a7089
m8421	a7351
m8421	a8422
m8421	c17782
m8421	d470
a10013	m1682
m1682	a10337
m1682	a16157
m1682	a1683
m1682	a16900
m1682	a2501
m1682	a4898
m1682	c17632
m1682	d19839
m1682	m12071
m1682	m10673
m1682	m16725
m10014	a10015
m10014	a10523
m10014	a12203
m10014	a16748
m10014	a4025
m10014	a9324
m10014	c18451
m10014	d22358
m8282	a10020
m8282	a8283
m8282	m701
m8282	m7212
m8282	m16675
m8282	m15269
a10020	m8904
a10020	m614
m8904	a6111
m8904	a7069
m8904	a7469
m8904	c18176
m8904	c18834
m8904	d19809
m8904	m13073
m8904	m2884
m614	a2713
m614	a5011
m614	a615
m614	c18339
m614	d21032
m614	m17902
m614	m10285
m614	m12564
m614	m4018
m614	m5866
m614	m465
m6196	a10021
m6196	a1413
m6196	a15315
m6196	a6197
m6196	c18296
m672	a10022
m672	a3500
m672	a4108
m672	a673
m672	d20100
m672	m12360
m672	m3988
m672	m4558
m672	m11371
m672	m14217
m3627	a10023
m3627	a3628
m3627	a5081
m3627	a5626
m3627	a6382
m3627	d19381
m10024	a10025
m10024	a13446
m10024	a2249
m10024	a7875
m10024	a8765
m10024	a9685
m10024	d21218
m10024	m8745
a10025	m13383
a10025	m8112
a10025	m12939
m13383	a12407
m13383	a13857
m13383	c18354
m13383	d19382
m8112	a12868
m8112	a2409
m8112	a4907
m8112	d10208
m12939	a11853
m12939	a16597
m12939	a1996
m12939	a4783
m12939	a7718
m12939	c17605
m12939	c18217
m12939	d19455
m2300	a10026
m2300	a10650
m2300	a2301
m8162	a10027
m8162	a10524
m8162	a11532
m8162	a875
m8162	c17952
m8162	d20067
m8162	m229
m8162	m10968
m8162	m6885
m8162	m2348
m8162	m5795
m8162	m6284
m8162	m1742
m8162	m874
m8162	m13572
m8162	m2078
m1002	a1003
m1002	a10356
m1002	a2220
m1002	a8189
m1002	a9678
m1002	c17715
m1002	d20537
a1003	m3377
a1003	a3697
a1003	a12568
a1003	a12697
a1003	a6544
a1003	a7859
a1003	a13233
a1003	a11910
a1003	a6172
a1003	a5599
a1003	a16384
a1003	a698
a1003	a15782
a1003	a13087
a1003	a9262
a1003	a3329
a1003	a10099
a1003	a3425
a1003	a17392
a1003	a12326
a1003	a17343
a1003	a14700
a1003	a5061
a1003	a13474
a1003	a16422
a1003	a10356
a1003	a4402
m3377	a10356
m3377	a2220
m3377	a3378
m3377	a8189
m3377	a9678
m3377	c17715
m3377	d20537
m1448	a10031
m1448	a11442
m1448	a12401
m1448	a1449
m1448	a1474
m1448	a14956
m1448	a15786
m1448	a16058
m1448	a16412
m1448	a2399
m1448	a2956
m1448	a4193
m1448	a6063
m1448	a6498
m1448	a7190
m1448	a9472
m1448	c17892
m1448	d10031
m625	a10032
m625	a1409
m625	a15285
m625	a5073
m625	a626
m625	c17888
m625	c18532
m625	d20645
m625	m5925
m625	m2422
m625	m10480
m625	m8416
