m265	0	0	0	1	0
m5414	0	1	0	1	0
m3789	0	0	0	1	0
m2877	0	1	0	0	0
m18484	1	0	0	0	0
m5083	0	1	0	0	0
m12496	0	1	0	0	0
m6799	0	1	0	0	0
m4398	0	1	0	0	0
m8182	0	0	0	0	1
m12752	0	1	0	1	0
m3976	0	0	0	1	0
m540	1	0	1	0	0
m8459	1	0	0	0	0
m4381	1	1	0	0	0
m3766	0	0	0	1	0
m11605	0	0	0	0	1
m17429	0	1	0	0	0
m1827	0	0	0	0	1
m2850	0	1	0	0	0
m11144	0	1	0	1	0
m1968	0	0	0	0	1
m5965	0	0	0	0	1
m3826	1	0	0	0	0
m9207	0	0	1	0	0
m1347	0	0	1	0	0
m20421	0	1	0	0	0
m94	1	0	0	0	0
m8048	1	0	1	1	0
m13062	0	0	0	1	0
m18447	1	0	0	0	0
m4814	0	0	0	1	0
m18231	0	1	0	0	0
m13572	0	1	0	0	0
m1866	0	0	0	0	1
m5087	0	0	0	0	1
m16855	0	0	0	1	0
m2920	0	1	0	0	0
m19206	0	1	0	0	0
m2662	0	1	0	0	0
m11257	1	0	0	0	0
m10970	0	0	0	1	0
m7358	0	1	0	0	0
m7806	1	0	0	0	0
m8723	0	0	0	0	1
m2234	0	0	1	0	0
m11371	1	0	0	0	0
m13649	1	0	0	0	1
m3124	1	0	0	0	0
m13706	1	0	0	0	1
m1984	0	1	0	0	0
m5642	1	0	0	1	0
m1770	0	0	1	0	0
m6952	0	1	0	1	0
m10926	0	0	1	0	0
m3739	0	0	0	0	1
m931	1	0	0	0	0
m2280	0	1	0	0	0
m2289	0	1	0	0	0
m13591	0	1	0	0	1
m10263	1	1	0	0	1
m17141	0	0	1	0	0
m7397	0	1	0	0	0
m4380	1	0	0	0	0
m2456	0	1	0	0	0
m6786	0	1	0	0	1
m22288	0	0	0	0	1
m22142	0	0	0	0	1
m939	0	1	0	0	0
m12185	1	0	0	0	0
m11631	1	0	0	0	0
m3447	0	0	0	1	0
m9896	0	1	0	0	0
m3412	0	0	0	0	1
m1111	1	0	0	1	0
